date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1878-01-18,08F68CC6-491E-4006-B3AE-6FD88A066BE9,a raṭl of flour is sold at Ps 6 ½ to Ps 7 ½,flour,0.9999999999999999,kg,currency,2.533234082521074,ops,currency,2.922962402908932,ops,
1878-01-18,D14CCB99-8811-409C-A937-AF80690351AF,The raṭl of flour baladī costs Ps 6;5-7;5,flour,0.9999999999999999,kg,currency,2.533234082521074,ops,currency,2.922962402908932,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,a wazana of best quality at Ps 35,flour,1,kg,currency,1.0912392970860014,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,middle quality at Ps 25"20,flour,1,kg,currency,0.7950457735912296,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,the last quality at Ps 21"20,flour,1,kg,currency,0.6703327110671151,ops,
1907-11-18,09AD487C-5436-4F86-9D45-D86A8F593E1A,1. class Ps 4"30,flour,0.9999999999999999,kg,currency,1.8512095218423237,ops,
1907-11-18,09AD487C-5436-4F86-9D45-D86A8F593E1A,2. class Ps 3"20,flour,0.9999999999999999,kg,currency,1.3640491213575017,ops,
1907-11-18,09AD487C-5436-4F86-9D45-D86A8F593E1A,3. class Ps 3,flour,0.9999999999999999,kg,currency,1.1691849611635727,ops,
1909-03-30,E5385ADD-7665-44E0-8526-F064DDE22224,flour (*al-ṭaḥīn*) merchants raised the price of a raṭl to Ps 0"20,flour,0.9999999999999999,kg,currency,0.1948641601939288,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,Ps 60 for *al-farkha*,flour,1,kg,currency,1.8706959378617167,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,Ps 59 for 2nd quality,flour,1,kg,currency,1.839517672230688,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,Ps 55 for *al-duqāq*,flour,1,kg,currency,1.7148046097065737,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,Ps 45 for *al-mafrūq*,flour,1,kg,currency,1.4030219533962875,ops,
1910-04-12,B28957B7-4CDA-4EE4-86E0-595AF9D4A9AE,wazana (talent) | 1st class flour | 60 |,flour,1,kg,currency,1.8706959378617167,ops,
1910-04-12,B28957B7-4CDA-4EE4-86E0-595AF9D4A9AE,wazana | farkha class | 59 |,flour,1,kg,currency,1.839517672230688,ops,
1910-04-12,B28957B7-4CDA-4EE4-86E0-595AF9D4A9AE,wazana | 2nd class | 56 |,flour,1,kg,currency,1.7459828753376023,ops,
1910-04-13,473D5E56-CCB2-4615-ADA2-990D863FFDF7,wazana (talent) | 1st class flour | 60 |,flour,1,kg,currency,1.8706959378617167,ops,
1910-04-13,473D5E56-CCB2-4615-ADA2-990D863FFDF7,wazana | farkha class | 59 |,flour,1,kg,currency,1.839517672230688,ops,
