date, location, source, tag
1898-09-24,Bayrūt,683F01DC-74F9-4B35-835B-F539673869B1,prices: rising
1909-01-02,Damascus,68737C82-9001-46C1-9DB4-FBB41CC1D0C3,prices: high
1879-11-03,Bayrūt,689ED0C7-A673-4DA6-B110-D6C02A74FD99,prices: rising
1900-09-15,Bayrūt,69FD515E-3BBB-4B69-9206-E3E8A169CADE,prices: high
1913-03-30,Dimashq,6A7067EC-DC85-42A6-936D-3F922371A889,prices: high
1913-03-30,Dimashq,6A7067EC-DC85-42A6-936D-3F922371A889,prices: falling
1881-09-05,Bayrūt,6AB58A52-2B63-4D80-9639-8569056E4174,prices: normal
1881-09-05,Bayrūt,6AB58A52-2B63-4D80-9639-8569056E4174,prices: falling
1891-11-25,Bayrūt,6B3AC501-3FB1-484F-8C4E-1728FDB22B72,prices: rising
1875-11-16,Bayrūt,6B5A22F6-F039-4A57-9115-413A09B8BF7D,prices: stable
1892-06-20,Bayrūt,6D011232-0AAA-4342-969C-0790A330E9A4,prices: rising
1896-01-28,Bayrūt,6D3B13B4-016F-435C-9223-BC50620A0B39,prices: high
1913-04-01,Damascus,6E52441A-AAB3-485D-8C5E-BC1A778F6D2C,prices: high
1886,London,6FC493CB-219C-41FF-A727-F82A4B9CF421,prices: rising
1889,London,71A8702D-D586-44DE-B2BD-1C9046977D96,prices: low
1913-03-06,Dimashq,71D15160-135F-4FB8-A862-9E9A6DA0972D,prices: stable
1913-03-06,Dimashq,71D15160-135F-4FB8-A862-9E9A6DA0972D,prices: high
1913-03-06,Dimashq,71D15160-135F-4FB8-A862-9E9A6DA0972D,prices: falling
1887,London,71E3E409-F0FB-40A1-9459-2320CF5F008D,prices: high
1908-10-22,Bayrūt,72CD51F1-1170-48EC-8CE4-27FD6F546CAF,prices: rising
1910-08-19,Bayrūt,72D04FA5-2457-4D6E-A2EB-7DB97590BDC9,prices: high
1890-05-05,Bayrūt,73B6DB15-F5E6-419D-BAC7-C7AC0DCA6A37,prices: falling
1890-05-05,Bayrūt,73B6DB15-F5E6-419D-BAC7-C7AC0DCA6A37,prices: low
1907-02-14,Bayrūt,780852B5-9F73-489F-8B56-BBFFBD9A9237,prices: high
1890-10-01,Bayrūt,79B3FED0-393C-4B7B-8507-9FC7D5BF39DD,prices: falling
1890-10-01,Bayrūt,79B3FED0-393C-4B7B-8507-9FC7D5BF39DD,prices: high
1879-10-26,Damascus,7B3C3B3A-FFC9-4305-A090-2D58A0A2843C,prices: high
1879-10-26,Damascus,7B3C3B3A-FFC9-4305-A090-2D58A0A2843C,prices: rising
1886-01-04,Bayrūt,7B4209BB-50CD-46A6-BA0B-BC3F958656A8,prices: falling
1898-05-02,Bayrūt,7BA04AD6-686A-48F3-961C-8DE09776ABFC,prices: rising
1898-05-02,Bayrūt,7BA04AD6-686A-48F3-961C-8DE09776ABFC,prices: high
1902-11-28,Bayrūt,7C726695-CB0D-4DBC-8D68-3BA54E7FE412,prices: falling
1877-12-17,Bayrūt,7D851B0E-E902-4C28-BF80-819206920120,prices: falling
1877-12-17,Bayrūt,7D851B0E-E902-4C28-BF80-819206920120,prices: high
1913-01-21,al-Quds,7DEA8568-671B-4D8D-9277-54F17900243C,prices: rising
1913-01-21,al-Quds,7DEA8568-671B-4D8D-9277-54F17900243C,prices: high
1906-12-03,Bayrūt,7E170A8D-BCD3-4755-A480-524CE35AE65B,prices: normal
1914-10-26,Bayrūt,7E603D90-299B-41DE-B95D-03D5C09C3425,prices: high
1909-04-23,al-Quds,7E7D9759-3952-4561-99E5-5A12201891A0,prices: rising
1909-12-11,Bayrūt,7EC2197E-D51C-4726-8373-DF8742F4361E,prices: high
1906-07-02,Bayrūt,81202937-A4B3-4172-873F-E6E70C980DBB,prices: high
1859-03-26,Bayrūt,815AAFFF-C49A-4546-B53C-D871DF6D07CB,prices: stable
1859-03-26,Bayrūt,815AAFFF-C49A-4546-B53C-D871DF6D07CB,prices: rising
1891-05-04,Bayrūt,81FD2046-F3A8-4418-BF3F-97620CDE7A20,prices: rising
1914-02-01,Dimashq,82110DD4-9442-439A-9A38-C6EE0907B675,prices: rising
1903-02-09,Damascus,831105A8-3BCD-451B-BEB9-48A5777EFC6A,prices: high
1903-02-09,Damascus,831105A8-3BCD-451B-BEB9-48A5777EFC6A,prices: rising
1909-12-04,Bayrūt,83F0F943-72F5-4789-BC99-0A5602187BA4,prices: high
1891-06-01,Bayrūt,852008FC-EEA7-43DC-968D-EA8E713BC243,prices: falling
1909-03-18,Bayrūt,87430D3E-1161-4148-AC40-E41B65421004,prices: high
1910-07-02,Bayrūt,87466100-9A9D-4AAF-A2E6-F0387D5D8B2B,prices: high
1912-01-03,Dimashq,88DE97DD-F2D3-4A89-8A45-5B40D3B467FC,prices: falling
1910-07-09,Bayrūt,8B0E3042-1978-434A-88F4-2951BD338305,prices: high
1901-07-11,Damascus,8B437B21-5A5F-4FC4-914B-DBE20ACEB806,prices: rising
1908-10-01,Damascus,8BA717FF-DFAD-4FAF-9F0D-F997AFC815C6,prices: high
1858-08-07,Bayrūt,8C041CB1-995E-4A82-BB32-DC95C41F73B9,prices: rising
1884-02-11,Bayrūt,8C7922CF-5245-45CA-ABA7-BA73B43F7230,prices: falling
1895,London,8D01452F-7446-4B13-8286-C699929310FE,prices: falling
1878-10-31,Bayrūt,8F9C3206-8CA4-48AF-B0F3-CF03550339DF,prices: rising
1910-08-26,al-Quds,8FB4F8D0-EC38-4420-8BAC-2FF658789F77,prices: high
1910-08-26,al-Quds,8FB4F8D0-EC38-4420-8BAC-2FF658789F77,prices: rising
1910-09-06,Bayrūt,90ABEBE9-BF18-46BB-80ED-22A9FAE45F19,prices: rising
1914-11-25,Bayrūt,91B36AF8-2CD2-4276-BB0F-A948D22865C0,prices: high
